spread_mom_th,target_gross,rate_th,vix_th,spy_th,sharpe_full,sharpe_in,sharpe_out
0.0,1.5,-0.5,25.0,-0.02,-0.1472658705766602,-0.17649661198538197,-0.12134353930036676
0.0,1.5,-0.5,25.0,0.0,-0.19968644033517757,-0.25961681584288243,-0.14999592291476135
0.0,1.5,-0.5,30.0,-0.02,-0.17638210808873592,-0.17649661198538197,-0.17670702703401772
0.0,1.5,-0.5,30.0,0.0,-0.2291206602856378,-0.25961681584288243,-0.2054062252100012
0.0,1.5,0.0,25.0,-0.02,0.24383076513073274,0.3130450908073156,0.1940382118731509
0.0,1.5,0.0,25.0,0.0,0.23126998273626073,0.2980258382483112,0.18540569888375324
0.0,1.5,0.0,30.0,-0.02,0.21596906799801133,0.3417815492878602,0.1275449437199654
0.0,1.5,0.0,30.0,0.0,0.20292791481464,0.3281566620489494,0.11854150362272019
0.0,2.0,-0.5,25.0,-0.02,-0.147265870576664,-0.17649661198538186,-0.12134353930036713
0.0,2.0,-0.5,25.0,0.0,-0.19968644033516714,-0.2596168158428846,-0.1499959229147656
0.0,2.0,-0.5,30.0,-0.02,-0.1763821080887289,-0.17649661198538186,-0.1767070270340106
0.0,2.0,-0.5,30.0,0.0,-0.2291206602856484,-0.2596168158428846,-0.20540622520999668
0.0,2.0,0.0,25.0,-0.02,0.24383076513072757,0.31304509080731024,0.19403821187314335
0.0,2.0,0.0,25.0,0.0,0.23126998273626254,0.29802583824831397,0.18540569888376474
0.0,2.0,0.0,30.0,-0.02,0.21596906799802085,0.3417815492878574,0.12754494371996616
0.0,2.0,0.0,30.0,0.0,0.2029279148146355,0.3281566620489432,0.11854150362271428
0.01,1.5,-0.5,25.0,-0.02,-0.29099182149705505,-0.5186395430063973,-0.12134353930036676
0.01,1.5,-0.5,25.0,0.0,-0.370051234103894,-0.7355608222353271,-0.14999592291476135
0.01,1.5,-0.5,30.0,-0.02,-0.3171413421599643,-0.5186395430063973,-0.17670702703401772
0.01,1.5,-0.5,30.0,0.0,-0.39415966896050514,-0.7355608222353271,-0.2054062252100012
0.01,1.5,0.0,25.0,-0.02,0.31872375443159606,0.17632049503433214,0.41974077591234443
0.01,1.5,0.0,25.0,0.0,0.3079405584540011,0.15351278599575433,0.41329414855602914
0.01,1.5,0.0,30.0,-0.02,0.28691926971229015,0.2086816739502055,0.34161045361921244
0.01,1.5,0.0,30.0,0.0,0.2753639127632413,0.18789259359093438,0.33446211092992595
0.01,2.0,-0.5,25.0,-0.02,-0.29099182149703734,-0.5186395430063889,-0.12134353930036713
0.01,2.0,-0.5,25.0,0.0,-0.3700512341038927,-0.7355608222353031,-0.1499959229147656
0.01,2.0,-0.5,30.0,-0.02,-0.31714134215997164,-0.5186395430063889,-0.1767070270340106
0.01,2.0,-0.5,30.0,0.0,-0.39415966896048715,-0.7355608222353031,-0.20540622520999668
0.01,2.0,0.0,25.0,-0.02,0.31872375443159984,0.17632049503432917,0.4197407759123181
0.01,2.0,0.0,25.0,0.0,0.307940558454004,0.1535127859957555,0.41329414855602964
0.01,2.0,0.0,30.0,-0.02,0.2869192697123153,0.2086816739502018,0.34161045361922215
0.01,2.0,0.0,30.0,0.0,0.2753639127632458,0.18789259359093535,0.33446211092993455
